id,nome,genero,educacao_dos_pais,nota_media,attendance,horas_de_sono,nota_final,idade,midterm_Score
1,Aluno1,Masculino,Ensino Superior,9.56,67,10,7.03,18,9.11
2,Aluno2,Feminino,,6.09,73,8,9.48,15,6.02
3,Aluno3,Feminino,Ensino Fundamental,7.71,78,6,7.98,15,9.37
4,Aluno4,Masculino,,5.18,98,6,9.66,22,5.79
5,Aluno5,Masculino,Ensino Superior,8.05,84,5,5.04,18,7.14
6,Aluno6,Masculino,,7.81,98,9,9.99,24,6.79
7,Aluno7,Feminino,Ensino Fundamental,8.86,79,6,7.25,22,6.25
8,Aluno8,Feminino,Ensino Fundamental,5.63,90,7,7.85,17,7.65
9,Aluno9,Feminino,Ensino Médio,6.59,67,7,9.13,15,5.47
10,Aluno10,Masculino,Ensino Fundamental,6.16,77,7,9.22,18,7.43
11,Aluno11,Masculino,Ensino Fundamental,7.99,66,6,6.86,18,9.95
12,Aluno12,Feminino,Ensino Fundamental,5.31,97,10,6.82,16,9.39
13,Aluno13,Feminino,Ensino Fundamental,8.46,94,6,8.25,22,6.9
14,Aluno14,Masculino,Ensino Superior,8.73,62,4,9.93,18,9.27
15,Aluno15,Masculino,Ensino Superior,6.44,65,8,5.34,21,9.61
16,Aluno16,Feminino,Ensino Fundamental,5.89,65,10,8.54,25,8.3
17,Aluno17,Masculino,,9.53,98,10,7.05,23,9.94
18,Aluno18,Masculino,Ensino Superior,5.64,100,10,7.07,25,8.71
19,Aluno19,Masculino,Ensino Fundamental,6.78,64,8,8.78,21,7.58
20,Aluno20,Feminino,Ensino Fundamental,9.54,67,7,5.33,24,9.03
21,Aluno21,Masculino,Ensino Superior,7.15,85,8,8.45,16,5.32
22,Aluno22,Masculino,,8.9,98,7,8.85,15,6.71
23,Aluno23,Masculino,,7.92,98,10,8.59,18,8.56
24,Aluno24,Feminino,Ensino Fundamental,6.37,96,6,5.8,23,5.53
25,Aluno25,Masculino,,8.48,69,9,8.29,18,5.84
26,Aluno26,Feminino,Ensino Fundamental,8.06,69,9,8.79,15,9.81
27,Aluno27,Feminino,Ensino Médio,5.51,67,9,7.76,17,7.84
28,Aluno28,Feminino,Ensino Médio,7.35,67,10,5.75,24,9.65
29,Aluno29,Feminino,Ensino Fundamental,6.34,99,6,5.04,20,8.73
30,Aluno30,Masculino,Ensino Fundamental,6.95,85,10,8.45,17,9.9
31,Aluno31,Masculino,,9.7,74,5,5.71,24,9.19
32,Aluno32,Feminino,Ensino Médio,7.98,67,7,5.78,17,9.25
33,Aluno33,Feminino,Ensino Fundamental,9.82,82,7,9.98,22,8.54
34,Aluno34,Masculino,Ensino Fundamental,5.3,69,4,8.29,25,8.6
35,Aluno35,Masculino,Ensino Superior,8.02,55,8,6.81,21,6.41
36,Aluno36,Masculino,,5.2,98,7,9.38,24,9.72
37,Aluno37,Masculino,Ensino Superior,7.08,64,6,6.76,16,8.12
38,Aluno38,Masculino,,9.46,98,4,9.25,20,6.71
39,Aluno39,Masculino,Ensino Fundamental,5.51,89,4,7.63,15,5.4
40,Aluno40,Masculino,Ensino Superior,6.63,62,10,5.18,20,7.19
41,Aluno41,Feminino,Ensino Médio,5.14,67,10,7.54,21,5.15
42,Aluno42,Feminino,Ensino Médio,6.04,67,9,5.8,23,6.76
43,Aluno43,Masculino,Ensino Superior,9.98,91,8,8.78,23,8.32
44,Aluno44,Masculino,,5.89,98,6,9.33,24,5.88
45,Aluno45,Masculino,Ensino Superior,8.02,87,5,9.42,19,7.64
46,Aluno46,Feminino,Ensino Médio,5.48,67,9,8.92,19,9.13
47,Aluno47,Masculino,,8.22,99,4,8.57,22,5.32
48,Aluno48,Feminino,Ensino Fundamental,5.18,55,4,6.94,21,8.11
49,Aluno49,Masculino,,8.5,98,6,7.18,23,9.19
50,Aluno50,Feminino,Ensino Fundamental,5.72,91,8,8.95,19,8.31
51,Aluno51,Feminino,Ensino Médio,5.32,67,4,7.77,22,8.7
52,Aluno52,Masculino,Ensino Fundamental,9.55,68,10,5.79,23,5.76
53,Aluno53,Masculino,Ensino Superior,6.15,98,6,7.98,20,8.98
54,Aluno54,Masculino,,9.9,66,5,6.82,22,6.06
55,Aluno55,Masculino,Ensino Superior,7.48,52,4,5.68,21,9.06
56,Aluno56,Masculino,,5.96,67,5,7.76,22,8.69
57,Aluno57,Masculino,Ensino Superior,6.69,96,10,5.58,18,8.17
58,Aluno58,Feminino,Ensino Médio,7.46,67,9,8.04,23,8.62
59,Aluno59,Masculino,Ensino Fundamental,5.05,90,6,6.42,18,5.63
60,Aluno60,Masculino,,7.12,98,9,7.57,18,6.91
61,Aluno61,Feminino,Ensino Médio,5.64,67,7,9.46,15,5.81
62,Aluno62,Masculino,,8.57,98,9,5.88,24,7.11
63,Aluno63,Masculino,Ensino Superior,9.53,66,8,7.39,17,8.23
64,Aluno64,Feminino,Ensino Médio,8.53,67,8,5.06,18,5.45
65,Aluno65,Masculino,,6.42,98,10,7.0,19,5.21
66,Aluno66,Masculino,Ensino Superior,7.29,100,8,8.47,23,5.75
67,Aluno67,Masculino,Ensino Superior,9.33,88,8,5.54,19,6.31
68,Aluno68,Masculino,,5.45,79,4,7.93,16,5.94
69,Aluno69,Masculino,,7.41,98,4,9.95,25,8.92
70,Aluno70,Feminino,Ensino Médio,6.48,67,8,5.5,19,7.93
71,Aluno71,Feminino,,8.83,96,4,9.57,19,7.03
72,Aluno72,Masculino,,8.7,98,4,6.53,20,6.45
73,Aluno73,Masculino,,5.56,98,10,6.09,25,9.48
74,Aluno74,Masculino,Ensino Superior,9.46,85,6,9.66,19,5.0
75,Aluno75,Feminino,Ensino Fundamental,5.06,52,5,8.89,15,9.6
76,Aluno76,Masculino,,8.3,98,4,9.41,21,6.58
77,Aluno77,Feminino,Ensino Fundamental,8.95,95,6,6.26,15,6.09
78,Aluno78,Masculino,Ensino Superior,9.35,52,8,9.75,23,7.47
79,Aluno79,Masculino,Ensino Superior,8.39,59,5,7.93,24,9.08
80,Aluno80,Feminino,Ensino Médio,7.2,67,6,8.29,16,9.41
81,Aluno81,Masculino,Ensino Superior,6.16,58,10,8.9,23,9.29
82,Aluno82,Masculino,Ensino Superior,6.94,60,4,6.19,17,7.14
83,Aluno83,Masculino,Ensino Superior,5.13,55,5,6.68,16,8.07
84,Aluno84,Masculino,Ensino Superior,9.48,72,6,6.51,17,8.97
85,Aluno85,Masculino,Ensino Superior,9.91,82,5,7.76,22,8.07
86,Aluno86,Masculino,Ensino Superior,7.15,75,4,9.73,24,7.45
87,Aluno87,Masculino,Ensino Superior,9.01,72,9,6.76,15,8.38
88,Aluno88,Masculino,Ensino Superior,7.57,68,9,9.38,16,6.73
89,Aluno89,Masculino,Ensino Fundamental,8.91,94,8,5.17,24,9.01
90,Aluno90,Masculino,Ensino Superior,6.8,67,7,8.56,16,9.54
91,Aluno91,Masculino,,8.49,81,10,9.82,20,8.81
92,Aluno92,Feminino,Ensino Fundamental,5.83,58,9,8.87,16,9.28
93,Aluno93,Masculino,Ensino Fundamental,7.38,59,5,6.54,16,8.87
94,Aluno94,Masculino,,7.29,72,5,9.27,15,6.65
95,Aluno95,Masculino,Ensino Superior,6.41,76,8,8.08,23,5.01
96,Aluno96,Masculino,Ensino Superior,9.62,61,8,5.58,18,5.55
97,Aluno97,Masculino,Ensino Fundamental,6.1,82,5,5.06,23,9.65
98,Aluno98,Feminino,Ensino Fundamental,8.67,83,7,5.48,22,5.78
99,Aluno99,Masculino,,6.01,98,4,8.22,15,9.39
100,Aluno100,Masculino,Ensino Superior,6.64,71,7,8.1,22,7.76
101,Aluno101,Masculino,Ensino Fundamental,8.38,64,4,5.03,25,6.15
102,Aluno102,Masculino,,9.95,98,8,6.42,17,5.1
103,Aluno103,Feminino,Ensino Fundamental,6.97,100,5,9.71,18,5.43
104,Aluno104,Masculino,Ensino Superior,7.48,60,6,5.27,20,8.52
105,Aluno105,Masculino,,9.59,98,4,6.07,20,9.87
106,Aluno106,Masculino,Ensino Superior,5.92,79,5,9.44,19,7.88
107,Aluno107,Feminino,Ensino Médio,7.95,67,6,5.72,19,6.28
108,Aluno108,Masculino,Ensino Superior,7.96,61,5,6.07,17,8.18
109,Aluno109,Masculino,Ensino Superior,5.64,98,6,7.94,25,5.72
110,Aluno110,Feminino,,7.08,99,9,7.75,17,6.23
111,Aluno111,Masculino,Ensino Fundamental,7.8,77,6,6.48,18,8.73
112,Aluno112,Masculino,,7.93,98,10,6.42,15,6.44
113,Aluno113,Masculino,Ensino Superior,7.09,79,4,5.86,25,8.0
114,Aluno114,Feminino,Ensino Fundamental,5.01,61,8,7.05,22,6.26
115,Aluno115,Masculino,Ensino Superior,9.06,70,7,6.63,23,5.41
116,Aluno116,Masculino,Ensino Fundamental,6.5,71,8,7.76,20,8.34
117,Aluno117,Masculino,Ensino Superior,8.81,99,6,7.75,25,9.26
118,Aluno118,Feminino,Ensino Médio,7.43,67,8,7.49,21,9.28
119,Aluno119,Feminino,Ensino Médio,6.41,67,4,5.81,25,9.76
120,Aluno120,Feminino,,6.19,67,10,9.82,15,9.97
121,Aluno121,Feminino,,5.71,67,7,7.3,22,8.94
122,Aluno122,Masculino,,6.83,98,4,6.96,17,8.14
123,Aluno123,Masculino,,6.79,98,8,7.83,16,9.08
124,Aluno124,Feminino,Ensino Fundamental,7.02,90,7,5.55,23,5.27
125,Aluno125,Masculino,Ensino Fundamental,7.42,92,8,5.95,23,7.27
126,Aluno126,Feminino,Ensino Fundamental,9.66,64,5,8.83,20,5.97
127,Aluno127,Masculino,,7.9,77,5,8.12,24,8.78
128,Aluno128,Feminino,Ensino Fundamental,6.94,61,8,9.36,15,8.35
129,Aluno129,Feminino,Ensino Médio,5.53,67,4,6.8,20,9.27
130,Aluno130,Masculino,Ensino Superior,8.83,58,4,6.99,20,9.47
131,Aluno131,Masculino,,5.73,98,5,7.79,18,5.9
132,Aluno132,Masculino,,8.77,69,7,5.55,25,8.99
133,Aluno133,Masculino,,6.68,98,5,7.81,21,9.34
134,Aluno134,Feminino,Ensino Fundamental,9.23,53,8,7.29,15,8.85
135,Aluno135,Masculino,Ensino Superior,6.99,96,10,5.13,22,6.03
136,Aluno136,Masculino,Ensino Superior,9.45,91,10,9.37,25,8.1
137,Aluno137,Masculino,Ensino Fundamental,9.12,53,7,8.64,15,6.55
138,Aluno138,Masculino,,5.56,98,8,8.28,18,7.51
139,Aluno139,Masculino,,7.72,98,4,8.81,19,5.17
140,Aluno140,Masculino,Ensino Superior,5.97,61,4,6.87,25,8.86
141,Aluno141,Feminino,Ensino Fundamental,5.26,52,8,5.63,17,5.03
142,Aluno142,Masculino,Ensino Fundamental,6.2,87,5,5.09,22,7.76
143,Aluno143,Masculino,Ensino Superior,9.37,61,9,6.35,25,5.13
144,Aluno144,Feminino,Ensino Médio,5.75,67,4,7.9,15,7.91
145,Aluno145,Masculino,Ensino Superior,5.66,86,5,7.37,16,6.53
146,Aluno146,Feminino,Ensino Médio,8.82,67,6,9.07,15,9.61
147,Aluno147,Feminino,Ensino Médio,6.38,67,6,9.06,24,5.69
148,Aluno148,Feminino,Ensino Médio,6.06,67,6,5.42,23,7.51
149,Aluno149,Masculino,Ensino Superior,8.47,78,10,5.86,18,9.0
150,Aluno150,Masculino,Ensino Fundamental,8.51,90,6,9.24,25,6.77
151,Aluno151,Feminino,Ensino Fundamental,7.55,80,10,7.42,24,6.96
152,Aluno152,Feminino,Ensino Fundamental,9.84,55,4,7.19,18,8.16
153,Aluno153,Masculino,Ensino Superior,5.87,99,8,8.36,19,5.87
154,Aluno154,Masculino,Ensino Fundamental,6.39,70,5,5.02,24,9.15
155,Aluno155,Feminino,Ensino Fundamental,7.03,54,9,5.95,16,9.18
156,Aluno156,Masculino,,6.33,83,7,9.63,22,9.72
157,Aluno157,Masculino,Ensino Superior,8.06,64,6,6.75,22,5.24
158,Aluno158,Masculino,,9.32,98,6,5.67,23,8.55
159,Aluno159,Feminino,Ensino Fundamental,5.56,82,5,7.18,23,9.79
160,Aluno160,Masculino,Ensino Superior,6.6,88,7,9.59,21,8.68
161,Aluno161,Masculino,Ensino Fundamental,9.99,84,4,8.42,24,6.24
162,Aluno162,Masculino,Ensino Superior,9.29,90,5,9.48,22,6.25
163,Aluno163,Feminino,Ensino Fundamental,9.8,65,8,5.72,19,9.08
164,Aluno164,Masculino,,7.45,98,8,6.94,16,8.69
165,Aluno165,Feminino,Ensino Fundamental,7.24,54,6,9.77,18,7.54
166,Aluno166,Masculino,Ensino Superior,8.54,73,7,8.22,16,7.9
167,Aluno167,Masculino,,5.04,98,6,7.86,16,9.41
168,Aluno168,Masculino,,6.86,98,7,9.17,24,7.18
169,Aluno169,Masculino,,5.37,98,8,7.52,16,7.72
170,Aluno170,Feminino,Ensino Médio,9.89,67,6,8.0,22,6.62
171,Aluno171,Feminino,Ensino Médio,8.8,67,10,7.65,15,8.11
172,Aluno172,Masculino,,5.91,95,9,8.57,15,9.78
